campus,type,nos
bam,CSP FSSP,5
bam,CHED PARTIAL,3
bam,DOST,25
bam,NCIP,25
bam,SAGUT,55
bam,TDP-TES,1000
bam,TES/ESGPPA,400
bam,ASEAP,20
bam,LGU DUPAX DEL SUR,20
bam,FCF,5
bam,NGCP,22
bam,OCEANA GOLD,10
bay,ATI Scholarship,8
bay,BFAR-CAR,19
bay,BFAR-R02,28
bay,DA-ACEF,22
bay,DOST,32
bay,FCF,12
bay,GSIS,1
bay,LGU-ARITAO (ASEAP),10
bay,LGU-DUPAX,2
bay,NCIP,45
bay,OWWA,6
bay,OCEANA GOLD,9
bay,SAGUT,244
bay,TAN YAN KEE,12
bay,CHED SCHOLARSHIP PROGRAM (CSP),2
bay,CHED-TAP,31
bay,CHED-TDP TES,721
bay,TERTIARY EDUCATION SUBSIDY (TES),231
bay,A&W LGBTQ International Education,9
