Program,ss,my,fs,College,Campus,Level
bsf,60,0,0,CFERM,Bayombong,Undergraduate
bsa,17,0,0,CFERM,Bayombong,Undergraduate
bses,12,0,0,CFERM,Bayombong,Undergraduate
bse,22,0,0,CFERM,Bayombong,Undergraduate
msf,2,0,0,CFERM,Bayombong,Graduate
prwf,0,0,0,CFERM,Bayombong,Graduate
bsae,22,0,0,COE,Bayombong,Undergraduate
bsabe,25,0,0,COE,Bayombong,Undergraduate
bsce,66,0,0,COE,Bayombong,Undergraduate
bsge,5,0,0,COE,Bayombong,Undergraduate
bsm,13,0,0,CAS,Bayombong,Undergraduate
bscs,20,0,0,CAS,Bayombong,Undergraduate
bsit,87,0,0,CAS,Bayombong,Undergraduate
beed,27,0,25,CTE,Bayombong,Undergraduate
beced,28,0,25,CTE,Bayombong,Undergraduate
bsed,79,0,79,CTE,Bayombong,Undergraduate
bped,0,0,0,CTE,Bayombong,Undergraduate
bcaed,0,0,0,CTE,Bayombong,Undergraduate
btvted,72,0,114,CTE,Bayombong,Undergraduate
btte,2,0,2,CTE,Bayombong,Undergraduate
btled,27,0,34,CTE,Bayombong,Undergraduate
